x,y,temp_std,layer_id,temp_boxcox_cs
37,12,-1.72823910712002,1,12.387558395564618
38,12,-1.9044029709311832,1,9.403555661635984
45,12,-1.7267264298395806,1,12.415839406903615
49,12,-1.67278980639252,1,13.455544142882296
50,12,-1.7257045757848264,1,12.43497075096558
51,12,-2.4481249012168527,1,3.4102519900479926
52,12,-1.831534507470668,1,10.56535695712393
60,12,-2.1014157977135057,1,6.727493467814952
72,12,-2.0173548454838013,1,7.790328791998862
92,12,-2.534794060788723,1,2.8099059066462644
93,12,-2.3625890242690692,1,4.085031237190873
107,12,-1.9586133799554704,1,8.601774982507234
20,13,-1.9983634123752416,1,8.0463118776521
32,13,-2.327720728773738,1,4.385198903526664
50,13,-2.4370398455859372,1,3.4929394245575165
51,13,-1.9259670064577155,1,9.07838603164938
52,13,-2.3214435517249465,1,4.4408441522905715
61,13,-2.007106776277064,1,7.9277159904455505
92,13,-2.7424611861830934,1,1.6711587313476812
107,13,-1.772451783272908,1,11.58161137645081
108,13,-1.7070295908914095,1,12.788428073683018
112,13,-2.730453401246552,1,1.7266182859045864
117,13,-2.4677744694756196,1,3.267043044794787
32,14,-1.8676237582946746,1,9.977620097451211
48,14,-2.132685023995275,1,6.3602922519350935
52,14,-1.6322494725198082,1,14.278047957547809
92,14,-2.4161271319919546,1,3.652727236149851
17,15,-3.1300532764382507,1,0.4222934631901816
18,15,-2.1884600454034255,1,5.7414120547555
50,15,-1.6393281501661292,1,14.131841179103091
51,15,-2.0460033041034693,1,7.415410902637423
52,15,-1.8398380505936518,1,10.427948254492978
91,15,-1.8079634885339966,1,10.962622831617495
42,16,-1.900223741891737,1,9.467542781137096
50,16,-1.8120810014035234,1,10.892452412630696
54,16,-1.9974086683994587,1,8.059339549455906
60,16,-2.032201195430315,1,7.594366344586408
90,16,-1.6934359640524421,1,13.050304898406946
32,17,-1.8505831297583901,1,10.252078988548195
37,17,-2.259679680842947,1,5.015375099402361
46,17,-1.8040610958374137,1,11.02943165357677
49,17,-1.9379197608697687,1,8.901714365267763
50,17,-1.8019190689778024,1,11.06622935521652
51,17,-1.7519143748713,1,11.95104845015287
52,17,-2.0972478874052105,1,6.777565359481356
55,17,-1.9590485065697016,1,8.595548116717854
56,17,-2.5069709160453146,1,2.9939245190341124
64,17,-2.516665363642321,1,2.928893782621078
66,17,-1.6756233392392674,1,13.399388670573
108,17,-3.3883690407357148,1,0.024064971046465128
18,18,-1.9232386946724114,1,9.119067617925955
36,18,-2.027035697894104,1,7.6621378301775085
44,18,-2.050171131019067,1,7.361976773251219
49,18,-2.0767973560721606,1,7.027155001717682
50,18,-1.7155426433591054,1,12.626402388378969
52,18,-2.6203711041512743,1,2.2925341698083357
55,18,-1.8778048467491522,1,9.81622277620802
57,18,-1.91120701711431,1,9.300055227119353
61,18,-1.6711983336333918,1,13.487159900192447
66,18,-1.8273879531216126,1,10.634467810202691
67,18,-2.2302261023744587,1,5.30715121201296
74,18,-2.04157164283209,1,7.472534654096543
49,19,-1.9884207045797346,1,8.182733182593461
52,19,-1.7651061624870605,1,11.71277312826988
55,19,-1.7051620696304963,1,12.8241748142171
60,19,-2.293678581833328,1,4.692983371628274
63,19,-1.9979783364542785,1,8.051564476422739
66,19,-1.7714746743228578,1,11.598996110935872
116,19,-1.9890354277309708,1,8.174250423687516
16,20,-1.835213956790442,1,10.504306587254648
49,20,-1.773791693812423,1,11.557802688461145
55,20,-1.7559393570183743,1,11.877974895493242
57,20,-2.1367869355869753,1,6.313217507005759
61,20,-2.164563858766342,1,6.001003212809527
75,20,-1.8219941441295502,1,10.72486020735971
18,21,-2.2825708472757156,1,4.796639940867522
46,21,-2.0876795392409293,1,6.8935322970852075
55,21,-1.7153175271080996,1,12.630667458841542
67,21,-1.7415403845035435,1,12.140906025373628
74,21,-2.05747046353308,1,7.2690663308677195
86,21,-1.7136241387160644,1,12.662784398583893
108,21,-2.0639619880650764,1,7.187152829797255
17,22,-1.933684807623757,1,8.964021729276766
18,22,-1.8975721123435874,1,9.50830530008705
24,22,-1.7429218687960526,1,12.115496425523913
67,22,-1.6438032409294001,1,14.039979696663814
72,22,-1.98380514690569,1,8.246628876796857
74,22,-2.288003363697093,1,4.745743170817224
86,22,-1.6636903809381702,1,13.637046886135057
90,22,-2.037473416176804,1,7.525643149386003
16,23,-1.9486381148564207,1,8.745426606497618
38,23,-1.8093331464660432,1,10.939244633903684
65,23,-1.636149300469258,1,14.197362057260674
74,23,-2.2721045429961393,1,4.895789496222495
75,23,-1.931344380255947,1,8.998591378994378
107,23,-1.6865310463425196,1,13.184822135997006
16,24,-1.7379932498767672,1,12.206327183943314
20,24,-1.9618308312427861,1,8.555809135208671
31,24,-2.008064305073274,1,7.9148054210150205
71,24,-2.0160812046073704,1,7.80730881403036
75,24,-2.1599857830657223,1,6.051680234313966
116,24,-1.6873565325224367,1,13.168687234046132
21,25,-2.2103162402040613,1,5.51111772155882
31,25,-1.7677930269517812,1,11.664671639676984
45,25,-1.6433561658176035,1,14.04913715605454
46,25,-1.751539161873796,1,11.957877176807825
48,25,-3.5542821764523604,1,-0.11520549594172906
55,25,-1.6950066121529852,1,13.019847657077024
61,25,-1.7446783054616801,1,12.083246619185765
65,25,-1.948906046200251,1,8.741545560636453
16,26,-1.9405363892802872,1,8.863374627527582
20,26,-1.9618308312427861,1,8.555809135208671
49,26,-1.8116674015948828,1,10.899486082114878
65,26,-1.904226511095867,1,9.406251005887551
105,26,-1.8058050623203334,1,10.999538332602956
16,27,-2.0053501938893916,1,7.951440049349521
18,28,-2.1285713533028487,1,6.4077550001146815
115,28,-1.7317100295362804,1,12.32284451958617
43,29,-1.7274505194193945,1,12.402295931648144
61,29,-2.2275466917620244,1,5.334281068689891
62,29,-1.696060453922592,1,12.999441326699088
71,30,-1.8464966611328775,1,10.318706703939954
72,30,-1.7154075582808768,1,12.628961594323814
73,30,-1.7866296186453423,1,11.33149894719138
17,31,-1.9434911065485017,1,8.82022560203817
48,31,-1.8686741242532752,1,9.960880111966762
61,31,-1.6816954724660453,1,13.279629537607617
20,32,-2.062295429357122,1,7.208118377124333
31,32,-1.8409190681192147,1,10.410155874057999
62,32,-1.7361022379148723,1,12.241309199541194
74,32,-1.8269375633690306,1,10.641994311405314
75,32,-1.8816397274712169,1,9.755926244499072
72,33,-1.782506955437061,1,11.403815506883012
75,33,-1.6529983246614868,1,13.852607110464197
76,33,-1.7999864762736641,1,11.099506162212071
25,34,-1.7689178567946555,1,11.644577420437868
43,34,-1.7921288539998188,1,11.235558560545647
75,34,-1.8120532135726133,1,10.892924867897396
45,35,-1.6641987318231215,1,13.626859873448367
73,35,-2.030038028804268,1,7.6226941169750635
105,35,-2.1683770660335933,1,5.9590259978868065
113,35,-1.832141344653849,1,10.555270358899595
71,36,-1.9100908649358064,1,9.31697652764826
73,36,-1.7692433036339652,1,11.63876829241823
80,36,-1.824654690485559,1,10.68020345983426
86,36,-1.6836638840493552,1,13.240976229450192
64,37,-1.9601563779863513,1,8.579708741985213
73,37,-1.8040159336566801,1,11.030206566385639
108,37,-2.01699719896328,1,7.79509418686782
62,38,-1.952327871473207,1,8.692089663861436
67,38,-2.2628051502325395,1,4.98509987726113
95,38,-1.9627350883225805,1,8.542922730797502
75,39,-1.7027029774462166,1,12.8713566921159
76,39,-2.368034156448358,1,4.039502358995927
61,40,-1.7446783054617279,1,12.083246619184893
67,40,-1.719821019264856,1,12.545544497432857
71,40,-2.514235801063703,1,2.945099043802753
46,41,-2.2137321807535923,1,5.475731779975717
57,41,-3.818382691474311,1,-0.22036244121568702
65,41,-2.5744195376621866,1,2.5614359964966864
73,41,-1.6301527835431449,1,14.321566642102125
75,41,-1.6430573941045497,1,14.055259355886072
114,41,-1.708038854922594,1,12.769139918571387
4,42,-1.712080049986228,1,12.692121866331968
15,42,-1.77637843638523,1,11.511940565344124
17,42,-2.188648579666185,1,5.7393965627205406
73,42,-1.6649254135658598,1,13.612307359985046
79,42,-2.1532893861594964,1,6.126358422666766
87,42,-2.1197341371024563,1,6.510578277374345
106,42,-1.9834195636419698,1,8.251983049972589
15,43,-3.070490086600124,1,0.5554381137026078
65,43,-1.8148674408869974,1,10.845152711515295
74,43,-2.18466102914082,1,5.782132912892446
112,43,-1.8106617528209275,1,10.916601972667465
115,43,-1.9884221910259896,1,8.182712662952888
15,44,-2.5450612962872903,1,2.744011368439622
78,44,-2.8866111275998567,1,1.0921271355407058
112,44,-1.878169396742089,1,9.810479235031288
15,45,-2.97318845876446,1,0.8140133498911423
45,45,-1.9872585049081997,1,8.19878819136792
66,45,-1.6276976716974358,1,14.372648529081365
75,45,-1.6728801857753606,1,13.453750325222469
99,45,-1.647990743650959,1,13.954419630477293
19,46,-2.029136870218914,1,7.634517788381714
41,46,-1.6329372926012333,1,14.263792819702736
71,46,-2.7262164804068316,1,1.7464695993457338
86,46,-1.7335976418272494,1,12.287754981840674
113,46,-1.762588931505078,1,11.757969359436816
11,47,-2.0034967298660225,1,7.9765283254882835
19,47,-2.309967675723738,1,4.543863396493549
67,47,-2.099909910942235,1,6.745553811818819
74,47,-1.6758987667098235,1,13.393939387857689
85,47,-2.4982434359509544,1,3.0533145703424487
86,47,-2.342789486717551,1,4.253633418298297
112,47,-1.7853463863505208,1,11.353972341851454
19,48,-1.975645288217981,1,8.360475065118958
43,48,-1.9538246904509347,1,8.670520089570633
86,48,-2.08313394627251,1,6.949122693610904
87,48,-1.7812225258277317,1,11.426414798548537
89,48,-1.6852581888946332,1,13.209729753190546
99,48,-1.8273824790647735,1,10.634559264277723
106,48,-1.7597995335460466,1,11.808201274183567
13,49,-2.3095675961529034,1,4.547485156876928
77,49,-1.6466846636436454,1,13.981064551764199
87,49,-1.824901443411572,1,10.676068656409402
89,49,-1.720105059251126,1,12.54018984198802
43,50,-1.840637604935183,1,10.414786317898866
43,51,-1.9053159395156072,1,9.389619461873203
81,51,-3.3309564753568774,1,0.09083215587304624
86,51,-2.622418530273732,1,2.2810186987920917
87,51,-2.3490484544175056,1,4.199815055132641
94,51,-1.8746631479844134,1,9.865822388129597
42,52,-1.810245018645369,1,10.923700438372201
72,52,-1.6483081611246544,1,13.947949736334145
80,52,-1.842297316723039,1,10.38750354936783
81,52,-2.919088059812661,1,0.9821292576972984
82,52,-1.7939583750582657,1,11.203772626588265
85,52,-1.7557994605539742,1,11.88050921280594
87,52,-2.0214565725387788,1,7.735826848166905
94,52,-1.67282305861664,1,13.454884144219097
115,52,-1.9135478105914647,1,9.264640572913072
1,53,-1.7783768140327965,1,11.476601261275555
7,53,-2.220773617171786,1,5.403302009643534
80,53,-2.265720346422957,1,4.956978961360906
87,53,-1.7157041494519962,1,12.623343131670214
3,54,-1.9190672797517228,1,9.181523434466046
7,54,-2.561055441760195,1,2.6434818342125825
9,54,-2.0964979404853548,1,6.786603411048808
32,54,-2.4129238714550447,1,3.6776453106385825
33,54,-1.9434245750915045,1,8.821195505599006
43,54,-2.1155205269020505,1,6.560020525219192
55,54,-2.0809139963004797,1,6.976388842141458
87,54,-2.8731954654234895,1,1.1396412139427996
93,54,-1.6718364784406508,1,13.474476150208861
94,54,-1.721264680064898,1,12.518346322907872
5,55,-2.791154460130723,1,1.4580903470655417
7,55,-2.10493299603532,1,6.685446937041257
